symptom_code,symptom_name,synonym_vi,body_system,is_active,source_ref
SYM-MSK-04,Cứng khớp buổi sáng,"khớp cứng khi ngủ dậy, cứng khớp > 30 phút",Cơ xương khớp,TRUE,ACR/EULAR-2010
SYM-MSK-05,Sưng đỏ nóng khớp,"viêm cấp tính, khớp đỏ, khớp nóng",Cơ xương khớp,TRUE,EULAR-2018-Gout
SYM-MSK-06,Đau lan xuống chân,"đau thần kinh tọa, tê chân, đau từ lưng xuống",Cơ xương khớp,TRUE,ACP-2017
SYM-URO-01,Tiểu buốt,"tiểu rắt, tiểu đau, nóng rát khi tiểu",Tiết niệu,TRUE,AUA/EAU-2022
SYM-URO-02,Tiểu nhiều lần,"đi tiểu đêm, tiểu gấp",Tiết niệu,TRUE,AUA-2022
SYM-URO-03,Tiểu khó,"tiểu yếu, tiểu ngắt quãng, bí tiểu",Tiết niệu,TRUE,AUA-2022/EAU-2022
SYM-URO-04,Đau hông lưng,"đau thận, đau mạn sườn",Tiết niệu,TRUE,EAU-2022
SYM-EYE-01,Mờ mắt,"nhìn mờ, giảm thị lực, nhìn không rõ",Mắt,TRUE,AAO-PPP-2021
SYM-EYE-02,Đau mắt đỏ,"mắt đỏ, cộm mắt, ngứa mắt, chảy nước mắt",Mắt,TRUE,AAO-PPP-2020
SYM-EYE-03,Nhìn đôi,"song thị, nhìn hai hình",Mắt,TRUE,AAO-2021
SYM-EYE-04,Đau nhức mắt,"nhức hốc mắt, đau mắt, căng mắt",Mắt,TRUE,AAO-PPP-2020
SYM-DERM-01,Ngứa da,"ngứa, gãi, ban đỏ, mẩn ngứa",Da liễu,TRUE,BAD-2021/Harrison-21e
SYM-DERM-02,Phát ban,"nổi mề đay, nổi mẩn, sẩn đỏ",Da liễu,TRUE,EAACI-2022
SYM-DERM-03,Mụn nước,"bóng nước, phỏng rộp, mụn rộp",Da liễu,TRUE,Harrison-21e
SYM-DERM-04,Bong tróc da,"da khô, tróc vảy, da bong",Da liễu,TRUE,BAD-2021
SYM-ENT-01,Ù tai,"tiếng ù, tiếng ve kêu trong tai",Tai mũi họng,TRUE,AAO-HNS-2019
SYM-ENT-02,Nghe kém,"giảm thính lực, điếc, nghễnh ngãng",Tai mũi họng,TRUE,JCIH-2019/AAO-HNS
SYM-ENT-03,Chảy mủ tai,"chảy dịch tai, tai chảy nước",Tai mũi họng,TRUE,AAO-HNS-2019
SYM-ENT-04,Đau răng,"nhức răng, ê buốt răng",Răng hàm mặt,TRUE,ADA-2020
SYM-ENT-05,Chảy máu nướu,"sưng nướu, viêm nướu, lợi chảy máu",Răng hàm mặt,TRUE,AAP/EFP-2018
SYM-ENT-06,Loét miệng,"lở miệng, nhiệt miệng, áp-tơ",Răng hàm mặt,TRUE,AAOM-2021
SYM-OBGYN-01,Ra khí hư bất thường,"huyết trắng, khí hư hôi, dịch âm đạo",Sản phụ khoa,TRUE,ACOG-2023
SYM-OBGYN-02,Trễ kinh,"mất kinh, chậm kinh, không có kinh",Sản phụ khoa,TRUE,ACOG-2023
SYM-OBGYN-03,Đau bụng kinh,"thống kinh, đau bụng dưới khi hành kinh",Sản phụ khoa,TRUE,ACOG-2023
SYM-ENDO-01,Khát nước nhiều,"uống nhiều, khô miệng",Nội tiết,TRUE,ADA-2024
SYM-ENDO-02,Tiểu nhiều,"đa niệu, tiểu lượng lớn",Nội tiết,TRUE,ADA-2024
SYM-ENDO-03,Tăng cân,"béo phì, thừa cân, tăng cân nhanh",Nội tiết,TRUE,WHO-Obesity-2023
SYM-PED-01,Chậm nói,"không nói, chậm phát triển ngôn ngữ",Nhi khoa,TRUE,AAP-2023
SYM-PED-02,Không giao tiếp mắt,"thiếu tương tác xã hội, tự kỷ",Nhi khoa,TRUE,DSM-5/AAP-2020
SYM-PED-03,Chậm phát triển vận động,"chậm đi, chậm ngồi, yếu cơ",Nhi khoa,TRUE,AAP-2023
