drug_code,drug_name,drug_group,route,strength,is_bhyt_covered,is_active,source_ref,therapeutic_purpose,side_effects,drug_interactions,max_duration_days,max_quantity_per_rx,requires_monitoring_cls,contraindicated_icd
MED-DIU-FUROSEMIDE,Furosemide,Thuốc lợi tiểu quai,Uống,40mg,TRUE,TRUE,FORMULARY-CARDIO-2026,Tăng thải muối nước tại thận làm giảm phù trong suy tim sung huyết hoặc suy thận,Rối loạn điện giải (đặc biệt hạ kali máu) mất nước suy thận nếu dùng quá mức,Aminoglycoside (tăng độc tính thính giác); NSAID (làm giảm tác dụng lợi tiểu),30,90,,
MED-DM-DAPAGLIFLOZIN,Dapagliflozin,Thuốc ức chế SGLT2,Uống,10mg,TRUE,TRUE,FORMULARY-CARDIO-2026,Thải glucose qua nước tiểu giảm huyết áp/cân nặng và bảo vệ tim mạch/thận (Tứ trụ suy tim),Nhiễm trùng nấm đường tiết niệu sinh dục tiểu nhiều nguy cơ nhiễm toan ceton ĐTĐ,Thuốc lợi tiểu (tăng nguy cơ mất nước); Insulin/SU (hạ đường máu),30,90,,
MED-ANTICOA-RIVAROXABAN,Rivaroxaban,Thuốc kháng đông (DOAC),Uống,15mg,TRUE,TRUE,FORMULARY-CARDIO-2026,Ức chế yếu tố Xa ngăn ngừa đột quỵ ở bệnh nhân rung nhĩ hoặc dự phòng huyết khối tĩnh mạch,Chảy máu (tiêu hóa não niêm mạc) thiếu máu,NSAID Aspirin (tăng nguy cơ chảy máu); thuốc ức chế CYP3A4 mạnh,30,90,,
MED-ANTIPLAT-ASPIRIN,Aspirin,Thuốc chống kết tập tiểu cầu,Uống,81mg,TRUE,TRUE,FORMULARY-CARDIO-2026,Ngăn ngừa sự kết tập tiểu cầu giảm nguy cơ hình thành huyết khối (nhồi máu cơ tim hoặc đột quỵ),Kích ứng và loét dạ dày tá tràng tăng nguy cơ chảy máu,NSAID (Ibuprofen đối kháng tác dụng bảo vệ tim) thuốc kháng đông,30,90,,
MED-PPI-ESOMEPRAZOLE,Esomeprazole,Thuốc ức chế bơm proton (PPI),Uống,40mg,TRUE,TRUE,FORMULARY-GAS-2026,Giảm tiết axit dạ dày mạnh giúp làm lành loét dạ dày và viêm thực quản trào ngược kéo dài,Nhức đầu tiêu chảy; dùng kéo dài nguy cơ loãng xương nhiễm C.difficile và thiếu vitamin B12,Clopidogrel (giảm tác dụng chống kết tập tiểu cầu); thuốc hấp thu phụ thuộc pH dạ dày,30,90,,
MED-PROKI-ITOPRIDE,Itopride,Thuốc trợ vận động dạ dày,Uống,50mg,TRUE,TRUE,FORMULARY-GAS-2026,Tăng cường trương lực và vận động dạ dày giải quyết triệu chứng đầy hơi khó tiêu chậm tiêu,Tiêu chảy đau bụng đau đầu tiết sữa (do tăng prolactin nhưng hiếm hơn loại khác),Thuốc kháng cholinergic (Atropin) làm giảm tác dụng cường động dạ dày,30,90,,
MED-ANTISPAS-MEBEVERINE,Mebeverine,Thuốc chống co thắt đại tràng,Uống,200mg,TRUE,TRUE,FORMULARY-GAS-2026,Tác dụng trực tiếp làm thư giãn cơ trơn ruột để giảm đau bụng do hội chứng ruột kích thích,Hiếm gặp — có thể ban đỏ hoặc phản ứng miễn dịch nhẹ,Không có tương tác thuốc đáng kể,30,90,,
MED-HEMORR-DIOSMIN,Diosmin/Hesperidin,Thuốc trợ tĩnh mạch,Uống,500mg,TRUE,TRUE,FORMULARY-GAS-2026,Tăng trương lực tĩnh mạch và giảm tính thấm mao mạch điều trị triệu chứng trĩ hoặc suy giãn tĩnh mạch thân dưới,Rối loạn tiêu hóa (buồn nôn chán ăn) rối loạn thần kinh thực vật hiếm gặp,Chưa có dữ liệu về tương tác nguy hiểm,30,90,,
MED-HEMORR-PROCTOLOG,Thuốc bôi trĩ (Proctolog),Thuốc bôi trĩ,Bôi hậu môn,típ,TRUE,TRUE,FORMULARY-GAS-2026,Chống co thắt bảo vệ niêm mạc hậu môn tĩnh mạch giảm ngứa và sưng trĩ,Kích ứng tại chỗ mẩn ngứa (hiếm) nóng rát thoáng qua,Sử dụng cùng kem bôi hậu môn trục tràng khác,30,90,,
MED-BILI-UDCA,Ursodeoxycholic acid,Thuốc lợi mật (UDCA),Uống,250mg,TRUE,TRUE,FORMULARY-GAS-2026,Cải thiện lưu thông mật bảo vệ tế bào gan và hỗ trợ tan sỏi mật cholesterol nhỏ,Tiêu chảy phân nhão nổi mẩn mày đay,Thuốc gắn acid mật (Cholestyramine) và Antacid giảm hấp thu UDCA,30,90,,
MED-NEURO-GABAPENTIN,Gabapentin,Thuốc giảm đau thần kinh,Uống,300mg,TRUE,TRUE,FORMULARY-NEURO-2026,Ổn định dẫn truyền thần kinh để cắt triệu chứng đau rát/tê buốt trong bệnh lý thần kinh ngoại biên,Chóng mặt buồn ngủ thất điều tăng cân phù ngoại biên,Antacid làm giảm hấp thu gabapentin; thuốc trầm cảm/an thần tăng nguy cơ buồn ngủ,30,90,,
MED-NEURO-PREGABALIN,Pregabalin,Thuốc giảm đau thần kinh,Uống,75mg,TRUE,TRUE,FORMULARY-NEURO-2026,Tương tự Gabapentin nhưng hấp thu ổn định hơn dùng trong đau thần kinh đái tháo đường hoặc sau xoster,Chóng mặt buồn ngủ nhìn mờ tăng cân sưng nề tay chân,Thuốc giảm đau opioids và benzodiazepin (làm tăng ức chế hô hấp và thần kinh trung ương),30,90,,
MED-NEURO-AMITRIPTYLINE,Amitriptyline,Thuốc chống trầm cảm 3 vòng,Uống,25mg,TRUE,TRUE,FORMULARY-NEURO-2026,Tác dụng chống trầm cảm kết hợp ức chế dẫn truyền cảm giác đau hiệu quả trong đau thần kinh mất ngủ,Khô miệng táo bón buồn ngủ mờ mắt bí tiểu nhịp tim nhanh tư thế,Thuốc ức chế MAO (chống chỉ định) thuốc kháng cholinergic khác,30,90,,
MED-NEURO-VITAMIN-B,Vitamin B complex,Vitamin hướng thần kinh,Uống,viên,TRUE,TRUE,FORMULARY-NEURO-2026,Bổ trợ chuyển hóa và phục hồi chức năng dây thần kinh ngoại biên tổn thương,Nước tiểu màu vàng sẫm; dung nạp tốt; dị ứng liều cực cao,Levodopa (thuốc trị Parkinson sẽ bị giảm tác dụng bởi Vitamin B6),30,90,,
MED-OBGYN-VITAMIN,"Vitamin thai kỳ (Sắt, Acid Folic, Canxi)",Vitamin và Khoáng chất,Uống,viên,TRUE,TRUE,FORMULARY-OBGYN-2026,Phòng ngừa khuyết tật ống thần kinh thai nhi và thiếu máu thiếu sắt ở mẹ,Kích ứng dạ dày buồn nôn táo bón phân đen (do sắt),Sữa trà cà phê và thuốc dạ dày làm giảm hấp thu Sắt Canxi (Nên uống cách xa),30,90,,
MED-OBGYN-METRO-NEO,Viên đặt Metronidazole Neomycin,Kháng sinh phụ khoa,Đặt âm đạo,viên,TRUE,TRUE,FORMULARY-OBGYN-2026,Diệt khuẩn kỵ khí và ký sinh trùng tại chỗ điều trị viêm âm đạo hỗn hợp,Nóng rát ngứa ngáy tại chỗ khi mới đặt; có thể hấp thu vào máu tỷ lệ thấp,Tránh quan hệ tình dục trong quá trình dùng; chú ý kiêng bia rượu nếu có uống Metronidazole kèm theo,30,90,,
MED-OBGYN-CONTRACEPTIVE,Levonorgestrel/Ethinylestradiol (Thuốc TT hàng ngày),Thuốc tránh thai,Uống,viên,FALSE,TRUE,FORMULARY-OBGYN-2026,Ngừa thai thông qua cơ chế ức chế rụng trứng hoặc hỗ trợ điều chỉnh nội tiết kinh nguyệt nang trứng,Căng tức vú; buồn nôn; tăng cân nhẹ; nhức đầu; nguy cơ huyết khối tắc mạch (hiếm),Một số kháng sinh (Rifampicin ampicillin) thuốc chống động kinh làm giảm hiệu lực ngừa thai,30,90,,
MED-EYE-TOBRAMYCIN,Tobramycin nhỏ mắt,Kháng sinh nhỏ mắt,Tra mắt,lọ,TRUE,TRUE,FORMULARY-EYE-2026,Kháng sinh phổ rộng kiểm soát nhiễm khuẩn giác kết mạc nhanh chóng,Cảm giác châm chích bờ mi ngứa xung huyết mắt thoáng qua,Không dùng phối hợp kháng sinh nhóm Tetracyclin tiêm truyền có thể tăng độc tính,30,90,,
MED-EYE-ARTIFICIAL-TEAR,Sodium Hyaluronate 0.1%,Nước mắt nhân tạo,Tra mắt,lọ,TRUE,TRUE,FORMULARY-EYE-2026,Bôi trơn làm dịu bề mặt nhãn cầu và giữ ẩm giác mạc,Làm mờ mắt thoáng qua ngay sau khi tra,Nên nhỏ các loại thuốc mắt điều trị khác trước ít nhất 5-10 phút,30,90,,
MED-EYE-TIMOLOL,Timolol 0.5%,Thuốc giảm nhãn áp,Tra mắt,lọ,TRUE,TRUE,FORMULARY-EYE-2026,Giảm sản xuất thủy dịch áp dụng giảm nhãn áp cơ bản điều trị Glôcôm,Châm chích mờ mắt khô mắt; tác dụng phụ toàn thân (chậm nhịp tim co thắt phế quản),Thận trọng khi dùng cùng CCB đường uống hoặc thuốc chẹn beta khác toàn thân,30,90,,
MED-EYE-DICLOFENAC,Diclofenac nhỏ mắt,Thuốc kháng viêm nhỏ mắt (NSAID),Tra mắt,lọ,TRUE,TRUE,FORMULARY-EYE-2026,Giảm viêm đau nhãn cầu thường dùng sau phẫu thuật hay dị vật nông,Rát châm chích mắt sợ ánh sáng sử dụng kéo dài giảm lành vết thương giác mạc,Thận trọng với thuốc nhỏ mắt chứa Corticoid (tăng nguy cơ chậm lành loét giác mạc),5,90,,
MED-EYE-TROPICAMIDE,Tropicamide nhỏ mắt,Thuốc giãn đồng tử,Tra mắt,lọ,TRUE,TRUE,FORMULARY-EYE-2026,Làm giãn hệ phó giao cảm gây liệt điều tiết và giãn đồng tử để khám mắt sâu hoặc đo khúc xạ,Tăng nhãn áp nhìn mờ sợ ánh sáng khô miệng nhịp tim nhanh,Thận trọng ở bệnh nhân đang dùng kháng cholinergic toàn thân (tăng độc lực),30,90,,
MED-PED-SALBUTAMOL,Salbutamol khí dung,Thuốc giãn phế quản,Khí dung,ống,TRUE,TRUE,FORMULARY-PED-2026,Kích thích chọn lọc Beta 2 giúp cắt nhanh tình trạng co thắt phế quản trong cơn hen cấp,Nhịp tim nhanh run tay bứt rứt hạ kali máu (nếu dùng liều cao),Thuốc chẹn beta không chọn lọc làm mất tác dụng của salbutamol,30,90,,
MED-PED-BUDESONIDE,Budesonide khí dung,Corticoid hít dự phòng,Khí dung,ống,TRUE,TRUE,FORMULARY-PED-2026,Kiểm soát tình trạng viêm mạn tính ở đường hô hấp giúp dự phòng lên cơn hen ở bệnh nhân nhi,Nhiễm nấm Candida vòm họng kích ứng miệng cổ họng ho khan,Loại ức chế CYP3A4 tăng nồng độ thuốc nhưng ít ảnh hưởng do đường khí dung súc miệng,30,90,,
MED-PED-AMOXICILLIN,Amoxicillin hỗn dịch,Thuốc kháng sinh Nhi khoa,Uống,lọ,TRUE,TRUE,FORMULARY-PED-2026,Diệt vi khuẩn tại viêm tai giữa hoặc viêm hô hấp có bằng chứng bội nhiễm trên nhi,Tiêu chảy (chiếm đa số) phát ban dị ứng ban đỏ,Hiệu ứng đối kháng với kháng sinh kìm khuẩn như Macrolide,30,90,,
MED-PED-H-VALPROATE,Valproate (NHÓM H),Thuốc chống co giật (Nhóm H),Uống,viên,TRUE,TRUE,FORMULARY-PED-H-2026,Kiểm soát các thể động kinh lan tỏa và cục bộ,Tăng cân run rụng tóc buồn nôn độc tính trên gan nghẽn chuyển hóa quá liều,Tương tác phức tạp (Carbamazepine Phenytoin) làm thay đổi nồng độ chống co giật hai bên,30,90,,
MED-PED-H-METHYLPHENIDATE,Methylphenidate (NHÓM H),Kích thích thần kinh trung ương (Nhóm H),Uống,viên,TRUE,TRUE,FORMULARY-PED-H-2026,Kích thích hệ thần kinh giúp tăng khả năng tập trung chú ý đối với trẻ tự kỷ kèm tăng động giảm chú ý (ADHD),Mất ngủ chán ăn sụt cân nhức đầu nhịp tim nhanh lo âu,Chống chỉ định chung với thuốc ức chế MAO (gây nguy hiểm kịch phát HA),30,90,,
MED-PED-H-RISPERIDONE,Risperidone liều thấp (NHÓM H),Thuốc an thần kinh (Nhóm H),Uống,viên,TRUE,TRUE,FORMULARY-PED-H-2026,Chống loạn thần không điển hình chuyên để kiểm soát rối loạn hành vi chống đối gắt gỏng trong phổ tự kỷ,Tăng cân gây tăng prolactin máu ngủ gà rối loạn ngoại tháp (run gồng),Tương tác với Fluoxetine Paroxetine (ức chế CYP2D6 làm tăng nồng độ thuốc an thần),30,90,,
MED-NEURO-BACLOFEN,Baclofen,Thuốc chống co cứng cơ,Uống,10mg,TRUE,TRUE,FORMULARY-PED-2026,Giảm trương lực cơ qua tác dụng chủ vận GABA-B tại tủy sống — giúp kiểm soát co cứng trong bại não và tổn thương thần kinh trung ương,Buồn ngủ chóng mặt yếu cơ buồn nôn; nguy cơ co giật nếu ngừng thuốc đột ngột,Thuốc an thần (Benzodiazepin Opioid) tăng ức chế thần kinh trung ương; thuốc hạ huyết áp tăng nguy cơ hạ HA,30,90,,
MED-OBES-ORLISTAT,Orlistat,Thuốc giảm cân,Uống,120mg,FALSE,TRUE,FORMULARY-ENDOC-2026,Ức chế hấp thu chất béo tại ruột hỗ trợ giảm cân ở người béo phì có chế độ ăn kiêng,Phân mỡ tiêu chảy đau quặn bụng giảm hấp thu vitamin tan trong dầu,Levothyroxine (giảm hấp thu qua đường tiêu hóa); Thuốc kháng đông Warfarin,30,90,,
MED-NEURO-LEVODOPA,Levodopa/Benserazide,Thuốc điều trị Parkinson,Uống,250mg,TRUE,TRUE,FORMULARY-NEURO-2026,Bổ sung Dopamine thiếu hụt trong bệnh Parkinson giúp giảm run cứng cơ,Buồn nôn ảo giác rối loạn nhịp tim hoang tưởng,Thuốc ức chế MAO không chọn lọc (nguy cơ cơn tăng huyết áp),30,90,,
MED-NEURO-FLUNARIZINE,Flunarizine,Thuốc chẹn kênh calci chọn lọc,Uống,5mg,TRUE,TRUE,FORMULARY-NEURO-2026,Dự phòng đau nửa đầu Migraine và điều trị triệu chứng tiền đình chóng mặt,Buồn ngủ tăng cân biểu hiện ngoại tháp (run chân tay),Thuốc an thần gây ngủ (tăng buồn ngủ),30,90,,
MED-NEURO-BETAHISTINE,Betahistine,Thuốc điều trị chóng mặt,Uống,16mg,TRUE,TRUE,FORMULARY-NEURO-2026,Cải thiện tuần hoàn vi mạch tai trong giúp giảm chóng mặt trong hội chứng Meniere và tiền đình,Rối loạn tiêu hóa nhẹ đau đầu phát ban,Thuốc kháng Histamin (đối kháng tác dụng),30,90,,
MED-NEURO-CITICOLINE,Citicoline,Thuốc bổ trợ thần kinh,Uống,500mg,TRUE,TRUE,FORMULARY-NEURO-2026,Phục hồi màng tế bào thần kinh hỗ trợ sau nhồi máu não não và sa sút trí tuệ,Ít tác dụng phụ có thể gây kích động mất ngủ hoặc rối loạn tiêu hóa nhẹ,Không dùng chung với Levodopa (làm tăng nhẹ tác dụng của Levodopa),30,90,,
MED-NEURO-DONEPEZIL,Donepezil,Thuốc điều trị sa sút trí tuệ,Uống,10mg,TRUE,TRUE,FORMULARY-NEURO-2026,Ức chế acetylcholinesterase giúp cải thiện nhận thức trong bệnh Alzheimer,Buồn nôn tiêu chảy chán ăn nhịp tim chậm,Thuốc kháng cholinergic (giảm tác dụng),30,90,,
MED-RESP-TIOTROPIUM,Tiotropium bromide (LAMA),Thuốc giãn phế quản tác dụng kéo dài,Hít,18mcg,TRUE,TRUE,FORMULARY-RESP-2026,Dãn phế quản duy trì cho bệnh nhân COPD giảm đợt cấp,Khô miệng ho nhịp tim nhanh bí tiểu,Tác dụng cộng gộp với kháng cholinergic khác,30,90,,
MED-RESP-SYMBICORT,Budesonide/Formoterol (ICS/LABA),Thuốc dự phòng hen/COPD,Hít,160/4.5mcg,TRUE,TRUE,FORMULARY-RESP-2026,Giảm viêm và giãn phế quản duy trì ngừa đợt cấp hen và COPD,Nấm miệng khàn giọng run tay hồi hộp,Thận trọng với thuốc ức chế CYP3A4 mạnh hoặc chẹn beta,30,90,,
MED-INF-ORESOL,Oresol (Dung dịch bù nước),Chất điện giải,Uống,gói,TRUE,TRUE,FORMULARY-INF-2026,Bù nước và điện giải qua đường uống cho sốt cao tiêu chảy sốt xuất huyết,Không có nếu pha đúng tỷ lệ; pha đặc gây rối loạn điện giải nghiêm trọng,Ít tương tác,30,90,,
MED-INF-TENOFOVIR,Tenofovir disoproxil fumarate,Thuốc kháng virus viêm gan B,Uống,300mg,TRUE,TRUE,FORMULARY-INF-2026,Ức chế sự nhân lên của virus viêm gan B ngăn ngừa xơ gan và ung thư gan,Giảm mật độ xương độc tính trên thận (cần theo dõi Creatinine),NSAID (tăng độc tính trên thận),30,90,,
MED-URO-CIPROFLOXACIN,Ciprofloxacin,Kháng sinh nhóm Fluoroquinolone,Uống,500mg,TRUE,TRUE,FORMULARY-URO-2026,Kháng sinh diệt khuẩn mạnh do vi khuẩn Gram âm nhóm đường tiết niệu tiêu hóa,Viêm gân đứt gân tiêu chảy buồn nôn,Thuốc bọc dạ dày Antacid có Magie/Canxi (làm giảm hấp thu Ciprofloxacin),10,90,,
