icd_code,cls_code,mapping_type,priority,source_version,note,evidence_level
H66.9,CLS-TDCN-NOI-SOI-TMH,recommended,1,MAP-ENT-2026,Mục đích: Nội soi xác định mức độ phồng/thủng màng nhĩ và ứ dịch tai giữa. Ưu tiên: Thăm khám hàng đầu trong chuyên khoa tai mũi họng. Lặp lại: Hằng tuần khi đang theo dõi dịch tai giữa.,I
H66.9,CLS-TDCN-DO-THINH-LUC,recommended,2,MAP-ENT-2026,Mục đích: Đo thính lực đơn âm (PTA) đánh giá mức độ nghe kém dẫn truyền do viêm tai giữa. Ưu tiên: Thực hiện khi nghe kém ảnh hưởng giao tiếp hoặc học tập ở trẻ. Lặp lại: 3 tháng/lần.,I
H66.9,CLS-TDCN-NHI-LUONG-DO,recommended,3,MAP-ENT-2026,Mục đích: Tympanometry đánh giá chức năng tai giữa; phát hiện dịch tai giữa (typ B) hoặc rối loạn vòi nhĩ (typ C). Ưu tiên: Bổ trợ xác nhận chẩn đoán viêm tai giữa ứ dịch. Lặp lại: 1-3 tháng/lần.,I
K02.1,CLS-CDHA-XQUANG-PERIAPICAL,recommended,1,MAP-RHM-2026,Mục đích: X-quang quanh chóp đánh giá độ sâu lỗ sâu và mối liên quan đến buồng tủy. Ưu tiên: Tiêu chuẩn vàng xác định sâu răng chưa xâm lấn tủy (theo ADA/AAPD). Lặp lại: Không cần lặp lại trừ khi nghi sâu tái phát.,I
K02.1,CLS-TDCN-TEST-TUY,suggested,2,MAP-RHM-2026,Mục đích: Test sức sống tủy (điện/nhiệt) xác định tủy còn sống hay hoại tử. Ưu tiên: Chỉ thực hiện khi răng có triệu chứng đau tự phát hoặc kéo dài. Lặp lại: Không cần lặp lại.,IIa
K02.5,CLS-CDHA-XQUANG-PERIAPICAL,recommended,1,MAP-RHM-2026,Mục đích: Đánh giá tổn thương quanh chóp do bệnh lý tủy — xác định chỉ định chữa tủy. Ưu tiên: Bắt buộc trước khi quyết định điều trị nội nha (ESE 2019). Lặp lại: Theo dõi sau điều trị tủy (3-6 tháng).,I
K04.0,CLS-CDHA-XQUANG-PERIAPICAL,recommended,1,MAP-RHM-2026,Mục đích: X-quang quanh chóp đánh giá mức độ tổn thương tủy/quanh chóp trước can thiệp nội nha. Ưu tiên: Bắt buộc xác định trước khi thực hiện thủ thuật chữa tủy. Lặp lại: Theo dõi sau điều trị 6 tháng.,I
K04.0,CLS-TDCN-TEST-TUY,recommended,2,MAP-RHM-2026,Mục đích: Test sức sống tủy phân biệt viêm tủy hồi phục và viêm tủy hoại tử — quyết định bảo tồn hay lấy tủy. Ưu tiên: Ưu tiên hàng đầu trong phân loại viêm tủy (AAE 2021). Lặp lại: Chỉ 1 lần trong đợt cấp.,I
K04.1,CLS-CDHA-XQUANG-PERIAPICAL,recommended,1,MAP-RHM-2026,Mục đích: Đánh giá tổn thương chóp răng hoại tử (nang chóp/u hạt chóp) trước tiểu phẫu cắt chóp. Ưu tiên: Bắt buộc trước tiểu phẫu nang chóp. Lặp lại: Sau điều trị 6 tháng đánh giá lành thương.,I
K04.1,CLS-CDHA-XQUANG-PANORAMA,suggested,2,MAP-RHM-2026,Mục đích: X-quang toàn cảnh đánh giá lan tỏa nếu tổn thương quanh chóp ảnh hưởng nhiều răng. Ưu tiên: Cân nhắc nếu tổn thương lan rộng ra xương hàm. Lặp lại: 12 tháng/lần.,IIa
K05.1,CLS-CDHA-XQUANG-PANORAMA,recommended,1,MAP-RHM-2026,Mục đích: Đánh giá mức độ tiêu xương ổ răng toàn hàm trong viêm nha chu mạn tính (phân độ giai đoạn theo AAP/EFP 2018). Ưu tiên: Phương tiện duy nhất đánh giá tiêu xương toàn diện. Lặp lại: 12 tháng.,I
K08.1,CLS-CDHA-XQUANG-PANORAMA,recommended,1,MAP-RHM-2026,Mục đích: Đánh giá xương hàm toàn diện trước phục hình răng hoặc cấy ghép Implant. Ưu tiên: Bắt buộc trong kế hoạch phẫu thuật Implant (CBCT nếu cần chi tiết hơn). Lặp lại: 12 tháng.,I
K12.1,CLS-CDHA-XQUANG-PERIAPICAL,suggested,1,MAP-RHM-2026,Mục đích: Loại trừ tổn thương xương bên dưới ở trường hợp loét áp-tơ mạn tính dai dẳng. Ưu tiên: Chỉ chọn khi loét kéo dài >3 tuần cần sinh thiết loại trừ ác tính. Lặp lại: 12 tháng.,IIa
M17.9,CLS-CDHA-XQUANG-KHOP,recommended,1,MAP-MSK-2026,Mục đích: X-quang khớp gối (thẳng-nghiêng) đánh giá hẹp khe khớp/gai xương/vôi hóa sụn — phân độ Kellgren-Lawrence. Ưu tiên: Chẩn đoán hình ảnh đầu tay chi phí thấp hiệu quả cao (OARSI 2019). Lặp lại: 12 tháng/lần hoặc khi triệu chứng thay đổi.,I
M17.9,CLS-CDHA-SIEU-AM-KHOP,recommended,2,MAP-MSK-2026,Mục đích: Siêu âm khớp gối đánh giá tràn dịch/dày màng hoạt dịch/viêm gân quanh khớp; bắt buộc trước chọc hút dịch hoặc tiêm nội khớp. Ưu tiên: Đặc biệt quan trọng nếu có chỉ định thủ thuật can thiệp. Lặp lại: 1-3 tháng/lần hoặc khi có đợt viêm cấp.,I
M17.9,CLS-XN-CREATININE,suggested,3,MAP-MSK-2026,Mục đích: Đánh giá chức năng thận (eGFR) khi bệnh nhân dùng NSAID kéo dài — theo dõi an toàn thận (ACR 2012). Ưu tiên: Bắt buộc ở người cao tuổi và bệnh nhân có yếu tố nguy cơ suy thận. Lặp lại: 3-6 tháng/lần.,IIa
M17.9,CLS-XN-AST-ALT,suggested,4,MAP-MSK-2026,Mục đích: Đánh giá chức năng gan khi dùng NSAID/Paracetamol kéo dài — theo dõi an toàn gan. Ưu tiên: Đi kèm xét nghiệm sinh hóa nền. Lặp lại: 3-6 tháng/lần.,IIa
M17.9,TT-HUT-DICH-KHOP,suggested,5,MAP-MSK-2026,Mục đích: Chọc hút dịch khớp giảm áp lực trong bao khớp khi tràn dịch nhiều gây hạn chế vận động. Ưu tiên: Chỉ định khi siêu âm xác nhận tràn dịch lượng nhiều và bệnh nhân đau hạn chế đi lại. Lặp lại: Khi tái tràn dịch (thường ≥1 tháng).,IIa
M17.9,TT-TIEM-NOI-KHOP,suggested,6,MAP-MSK-2026,Mục đích: Tiêm nội khớp Corticoid/Acid Hyaluronic khi viêm khớp không đáp ứng thuốc uống (ACR/AF 2019). Ưu tiên: Can thiệp thủ thuật sau cùng; cần siêu âm xác nhận viêm trước khi tiêm. Lặp lại: ≥3 tháng cùng một khớp (tránh tổn thương sụn).,IIa
M17.9,PHCN-VAT-LY-TL,recommended,7,MAP-MSK-2026,Mục đích: Vật lý trị liệu (điện trị liệu/nhiệt trị liệu/tập vận động) cải thiện biên độ vận động và sức cơ quanh khớp gối. Ưu tiên: Nền tảng điều trị phục hồi chức năng quan trọng lâu dài (OARSI 2019). Lặp lại: Liệu trình 2-3 lần/tuần × 4-6 tuần.,I
M17.9,PHCN-GIAO-DUC,recommended,8,MAP-MSK-2026,Mục đích: Giáo dục bệnh nhân về kiểm soát cân nặng/bài tập tại nhà/bảo vệ khớp — trụ cột điều trị không dùng thuốc (EULAR 2019). Ưu tiên: Bắt buộc ở bệnh nhân BMI cao. Lặp lại: Mỗi đợt khám.,I
M15.9,CLS-CDHA-XQUANG-KHOP,recommended,1,MAP-MSK-2026,Mục đích: X-quang đánh giá tổn thương thoái hóa tại nhiều khớp (bàn tay/gối/háng) — phân độ Kellgren-Lawrence. Ưu tiên: Chụp các khớp viêm chính để so sánh tiến triển. Lặp lại: 12 tháng.,I
M19.9,CLS-CDHA-XQUANG-KHOP,recommended,1,MAP-MSK-2026,Mục đích: X-quang theo dõi biến dạng thoái hóa khớp không xác định — đánh giá hẹp khe khớp và gai xương. Ưu tiên: Xem mật độ sụn và cấu trúc xương dưới sụn. Lặp lại: 12 tháng.,I
M05.9,CLS-CDHA-XQUANG-KHOP,recommended,1,MAP-MSK-2026,Mục đích: X-quang tay-chân đánh giá bào mòn xương (erosion) trong viêm khớp dạng thấp (theo tiêu chuẩn ACR/EULAR 2010). Ưu tiên: Theo dõi tiến triển hủy xương thường quy. Lặp lại: 6-12 tháng.,I
M05.9,CLS-CDHA-SIEU-AM-KHOP,recommended,2,MAP-MSK-2026,Mục đích: Siêu âm Doppler đánh giá dày màng hoạt dịch/tăng sinh pannus/tăng tưới máu — đánh giá đợt hoạt động bệnh. Ưu tiên: Nhạy hơn X-quang trong phát hiện viêm sớm. Lặp lại: Theo đợt cấp viêm.,I
M05.9,CLS-XN-CONG-THUC-MAU,recommended,3,MAP-MSK-2026,Mục đích: Công thức máu phát hiện thiếu máu bệnh mạn tính/giảm tiểu cầu; kết hợp VS/CRP đánh giá hoạt tính viêm. Ưu tiên: Thường xuyên đi kèm tốc độ máu lắng. Lặp lại: 3 tháng/lần.,I
M10.9,CLS-XN-DICH-KHOP,suggested,1,MAP-MSK-2026,Mục đích: Phân tích dịch khớp tìm tinh thể Monosodium Urate dạng hình kim lưỡng chiết — tiêu chuẩn vàng chẩn đoán Gout (EULAR 2018). Ưu tiên: Ưu tiên cao nhất khi khớp viêm cấp chưa rõ nguyên nhân. Lặp lại: 1 lần (chẩn đoán xác định).,IIa
M10.9,CLS-XN-CREATININE,recommended,2,MAP-MSK-2026,Mục đích: Đánh giá chức năng thận (eGFR) do acid uric thải qua thận — bệnh Gout luôn đi kèm nguy cơ tổn thương thận. Ưu tiên: Bắt buộc trước khi kê Allopurinol và theo dõi định kỳ. Lặp lại: 3 tháng/lần.,I
M10.9,CLS-CDHA-SIEU-AM-KHOP,suggested,3,MAP-MSK-2026,Mục đích: Siêu âm khớp tìm dấu hiệu đường đôi (double contour sign) đặc trưng cho lắng đọng urat trên sụn (EULAR 2018). Ưu tiên: Chọn khi không thể chọc dịch khớp. Lặp lại: 1-3 tháng/lần.,IIa
I50.9,CLS-CDHA-SIEU-AM-TIM,recommended,1,MAP-CARDIO-2026,Mục đích: Siêu âm Doppler tim đánh giá phân suất tống máu (EF%) — phân loại suy tim EF giảm/bảo tồn (ESC 2021). Ưu tiên: Thăm dò trọng yếu bắt buộc ở mọi bệnh nhân suy tim. Lặp lại: 6-12 tháng hoặc khi lâm sàng thay đổi.,I
I50.9,CLS-XN-NT-PROBNP,recommended,2,MAP-CARDIO-2026,Mục đích: NT-proBNP tương quan với mức độ suy tim — hướng dẫn điều chỉnh điều trị và theo dõi mất bù (ESC 2021). Ưu tiên: Marker sinh hóa then chốt theo dõi suy tim. Lặp lại: 3 tháng/lần hoặc khi đợt mất bù cấp.,I
I50.9,CLS-TDCN-ECG-12,recommended,3,MAP-CARDIO-2026,Mục đích: ECG 12 chuyển đạo khảo sát rối loạn nhịp/thiếu máu cơ tim/phì đại thất trái trên nền suy tim. Ưu tiên: Thăm dò nền tảng đầu tiên. Lặp lại: Mỗi đợt tái khám.,I
I50.9,CLS-XN-CREATININE,suggested,4,MAP-CARDIO-2026,Mục đích: Đánh giá chức năng thận (eGFR/Creatinine) — bệnh nhân suy tim thường dùng lợi tiểu và ACEi/ARB ảnh hưởng thận. Ưu tiên: Đặc biệt cần thiết khi dùng lợi tiểu liều cao. Lặp lại: Mỗi đợt tái khám.,IIa
I48.9,CLS-TDCN-HOLTER-ECG,recommended,1,MAP-CARDIO-2026,Mục đích: Holter ECG 24 giờ đánh giá kiểm soát nhịp thất trong rung nhĩ và phát hiện rung nhĩ kịch phát. Ưu tiên: Ưu tiên cao ở rung nhĩ kịch phát có triệu chứng hoặc đánh giá đáp ứng thuốc kiểm soát nhịp. Lặp lại: 3-6 tháng/lần.,I
I48.9,CLS-CDHA-SIEU-AM-TIM,recommended,2,MAP-CARDIO-2026,Mục đích: Siêu âm tim đánh giá giãn nhĩ trái/huyết khối nhĩ trái — cơ sở quyết định chống đông (ESC 2020). Ưu tiên: Bắt buộc để ra quyết định kháng đông. Lặp lại: 12 tháng.,I
I48.9,CLS-TDCN-ECG-12,recommended,3,MAP-CARDIO-2026,Mục đích: ECG 12 chuyển đạo ghi nhận hoạt động điện cơ bản xác nhận rung nhĩ (sóng f thay sóng P). Ưu tiên: Tiêu chuẩn chẩn đoán cơ sở. Lặp lại: Mỗi đợt tái khám.,I
I48.9,CLS-XN-LIPID,suggested,4,MAP-CARDIO-2026,Mục đích: Đánh giá nguy cơ xơ vữa đồng mắc ở bệnh nhân rung nhĩ — bilan lipid nằm trong gói đánh giá toàn diện tim mạch. Ưu tiên: Không phải chỉ định ưu tiên nhưng nên kèm theo. Lặp lại: 12 tháng.,IIa
I20.9,CLS-XN-TROPONIN,suggested,1,MAP-CARDIO-2026,Mục đích: Troponin T/I siêu nhạy tầm soát tổn thương cơ tim — loại trừ NMCT cấp (ESC 2023). Ưu tiên: Cân nhắc kỹ lưỡng — chỉ chỉ định khi nghi ngờ hội chứng vành cấp; KHÔNG lạm dụng ở phòng khám ngoại trú. Lặp lại: Chỉ 1 lần trong đợt đau ngực cấp.,IIa
I20.9,CLS-TDCN-ECG-12,recommended,2,MAP-CARDIO-2026,Mục đích: ECG 12 chuyển đạo tìm sóng Q bệnh lý/ST chênh/T đảo gợi ý thiếu máu cơ tim. Ưu tiên: Thăm dò an toàn chi phí thấp cần thực hiện ngay khi đau ngực. Lặp lại: Bất cứ khi nào tái phát đau ngực.,I
I20.9,CLS-CDHA-SIEU-AM-TIM,recommended,3,MAP-CARDIO-2026,Mục đích: Siêu âm tim tìm vùng giảm/rối loạn vận động thành gợi ý thiếu máu cục bộ cơ tim. Ưu tiên: Bổ trợ chẩn đoán sâu hơn ECG. Lặp lại: 6 tháng hoặc khi có triệu chứng mới.,I
I10,CLS-XN-CONG-THUC-MAU,recommended,1,MAP-CARDIO-2026,Mục đích: Công thức máu đánh giá tổng quát (thiếu máu/đa hồng cầu) — nằm trong bilan cơ bản tăng huyết áp (ESC/ESH 2018). Ưu tiên: Khám máu định kỳ. Lặp lại: 3 tháng/lần.,I
I10,CLS-XN-CREATININE,recommended,2,MAP-CARDIO-2026,Mục đích: Đánh giá eGFR theo dõi biến chứng thận do tăng huyết áp — cực kỳ quan trọng để chọn nhóm thuốc hạ áp (ESC/ESH 2018). Ưu tiên: Bắt buộc trước khi kê ACEi/ARB. Lặp lại: 3-6 tháng/lần.,I
I10,CLS-TDCN-ECG-12,recommended,3,MAP-CARDIO-2026,Mục đích: ECG phát hiện phì đại thất trái — tiêu chuẩn đánh giá tổn thương cơ quan đích do THA (ESC/ESH 2018). Ưu tiên: Bắt buộc trong đánh giá ban đầu THA. Lặp lại: Mỗi đợt tái khám.,I
I10,CLS-CDHA-SIEU-AM-TIM,suggested,4,MAP-CARDIO-2026,Mục đích: Siêu âm tim đo độ dày vách thất trái và chức năng tâm trương — nhạy hơn ECG trong phát hiện phì đại thất trái. Ưu tiên: Quan trọng nếu ECG bất thường hoặc THA kháng trị. Lặp lại: 12 tháng.,IIa
I10,CLS-TDCN-HOLTER-HA,suggested,5,MAP-CARDIO-2026,Mục đích: Holter huyết áp 24 giờ chẩn đoán THA áo choàng trắng/THA ẩn giấu/đánh giá kiểm soát huyết áp (ESC/ESH 2018). Ưu tiên: Thực hiện khi nghi ngờ huyết áp phòng khám không phản ánh đúng thực tế. Lặp lại: 12 tháng.,IIa
R07.4,CLS-TDCN-ECG-12,recommended,1,MAP-CARDIO-2026,Mục đích: ECG 12 chuyển đạo loại trừ nguyên nhân tim mạch ở bệnh nhân đau ngực. Ưu tiên: Bắt buộc thực hiện đầu tiên ở mọi bệnh nhân đau ngực (ESC 2023). Lặp lại: Không cần lặp lại nếu đau ngực đã giải quyết.,I
R07.4,CLS-CDHA-SIEU-AM-TIM,suggested,2,MAP-CARDIO-2026,Mục đích: Siêu âm tim tìm bất thường cấu trúc (van tim/màng ngoài tim/vùng rối loạn vận động). Ưu tiên: Cân nhắc nếu đau ngực kéo dài hoặc ECG bất thường. Lặp lại: 1 lần.,IIa
R07.4,CLS-XN-TROPONIN,suggested,3,MAP-CARDIO-2026,Mục đích: Troponin siêu nhạy loại trừ NMCT ở đau ngực không rõ nguyên nhân. Ưu tiên: Cần giải trình lâm sàng nếu chỉ định ngoại trú — xét nghiệm BHYT cần lý do rõ ràng. Lặp lại: Chỉ trong đợt đau ngực cấp.,IIa
K21.9,CLS-TDCN-NOI-SOI-DD,suggested,1,MAP-GAS-2026,Mục đích: Nội soi thực quản-dạ dày-tá tràng phân biệt viêm loét/Barrett/tân sinh ở bệnh nhân GERD. Ưu tiên: Chỉ định khi không đáp ứng PPI >8 tuần hoặc có dấu hiệu báo động (nuốt khó/sụt cân/thiếu máu) — theo ACG 2022. Lặp lại: 12 tháng nếu bệnh nhân >40 tuổi có triệu chứng tái phát.,IIa
K21.9,CLS-XN-TEST-HP,suggested,2,MAP-GAS-2026,Mục đích: Test hơi thở Urea C13/C14 không xâm lấn phát hiện nhiễm H. pylori — test-and-treat strategy (Maastricht VI 2022). Ưu tiên: Diệt trừ HP giảm nguy cơ loét tái phát và ung thư dạ dày. Lặp lại: Sau ngưng kháng sinh và PPI tối thiểu 4 tuần.,IIa
K52.9,CLS-TDCN-NOI-SOI-DT,recommended,1,MAP-GAS-2026,Mục đích: Nội soi đại trực tràng toàn bộ đánh giá niêm mạc phát hiện viêm/polyp/u và sinh thiết. Ưu tiên: Chỉ định ở bệnh nhân >50 tuổi hoặc có máu trong phân (ACG 2021). Lặp lại: Tầm soát: 5 năm; theo dõi polyp: 1-3 năm.,I
K52.9,CLS-XN-PHAN,suggested,2,MAP-GAS-2026,Mục đích: Xét nghiệm máu ẩn trong phân (FOBT/FIT) và ký sinh trùng — sàng lọc không xâm lấn. Ưu tiên: Thay thế nội soi khi bệnh nhân chưa sẵn sàng nội soi. Lặp lại: 6-12 tháng.,IIa
K52.9,CLS-CDHA-SIEU-AM-BUNG,suggested,3,MAP-GAS-2026,Mục đích: Siêu âm ổ bụng loại trừ khối u/áp-xe/tắc ruột/dịch ổ bụng. Ưu tiên: Chi phí thấp loại trừ nhanh bệnh lý cấp cứu ngoại khoa ở bệnh nhân đau bụng. Lặp lại: Mỗi đợt khám khi có triệu chứng mới.,IIa
K64.9,CLS-TDCN-NOI-SOI-DT,suggested,1,MAP-GAS-2026,Mục đích: Nội soi đại trực tràng loại trừ ung thư đại trực tràng ở bệnh nhân trĩ chảy máu. Ưu tiên: Khuyến cáo ở bệnh nhân ≥50 tuổi hoặc có yếu tố nguy cơ gia đình (NCCN). Lặp lại: 5 năm/lần (tầm soát).,IIa
K80.2,CLS-CDHA-SIEU-AM-BUNG,recommended,1,MAP-GAS-2026,Mục đích: Siêu âm ổ bụng đánh giá kích thước/số lượng/vị trí sỏi túi mật — phương pháp chẩn đoán tiêu chuẩn. Ưu tiên: Bắt buộc để quyết định điều trị nội khoa hay phẫu thuật (EASL 2016). Lặp lại: 6-12 tháng.,I
K80.2,CLS-XN-AST-ALT,recommended,2,MAP-GAS-2026,Mục đích: Đánh giá men gan phát hiện tắc nghẽn đường mật do sỏi (tăng Bilirubin/ALP/GGT kèm theo). Ưu tiên: Nên thực hiện đồng thời với siêu âm ổ bụng. Lặp lại: Tùy diễn tiến lâm sàng.,I
K62.8,CLS-TDCN-NOI-SOI-DT,recommended,1,MAP-GAS-2026,Mục đích: Nội soi đại trực tràng đánh giá tổn thương hậu môn trực tràng gây chảy máu — tiêu chuẩn vàng chẩn đoán xác định. Ưu tiên: Bắt buộc để phân biệt trĩ/nứt kẽ/polyp/u trực tràng. Lặp lại: 12 tháng.,I
G62.9,CLS-TDCN-DIEN-CO,recommended,1,MAP-NEURO-2026,Mục đích: Điện cơ đồ (EMG) và đo dẫn truyền thần kinh (NCS) đánh giá bệnh thần kinh ngoại biên — tiêu chuẩn vàng phân biệt bệnh tủy/dây/rễ (AAN 2019). Ưu tiên: Bắt buộc ở bệnh nhân tê bì chi dưới kéo dài. Lặp lại: 3-6 tháng trừ khi diễn tiến cấp tính.,I
G62.9,CLS-XN-VIT-B12,suggested,2,MAP-NEURO-2026,Mục đích: Định lượng vitamin B12 huyết thanh phát hiện thiếu hụt gây bệnh thần kinh ngoại biên hoặc thiếu máu hồng cầu to. Ưu tiên: Rất quan trọng ở người cao tuổi/ăn chay/dùng Metformin lâu dài. Lặp lại: 6-12 tháng.,IIa
G63.2,CLS-TDCN-DIEN-CO,recommended,1,MAP-NEURO-2026,Mục đích: EMG/NCS đánh giá mức độ tổn thương thần kinh ngoại biên do biến chứng đái tháo đường. Ưu tiên: Chỉ định ở bệnh nhân ĐTĐ có triệu chứng tê bì/giảm cảm giác chi dưới ≥5 năm. Lặp lại: 6 tháng.,I
G63.2,CLS-XN-VIT-B12,suggested,2,MAP-NEURO-2026,Mục đích: Tầm soát thiếu hụt B12 do Metformin dùng kéo dài (>3 năm) — nguyên nhân có thể điều trị được của bệnh thần kinh ngoại biên ở ĐTĐ. Ưu tiên: Chỉ định nếu dùng Metformin >3 năm liên tục. Lặp lại: 12 tháng.,IIa
G56.0,CLS-TDCN-DIEN-CO,recommended,1,MAP-NEURO-2026,Mục đích: EMG/NCS xác nhận chẩn đoán hội chứng ống cổ tay — đo tốc độ dẫn truyền thần kinh giữa qua ống cổ tay (AAN 2019). Ưu tiên: Tiêu chuẩn vàng chẩn đoán xác định và phân độ nặng. Lặp lại: 3 tháng (theo dõi đáp ứng điều trị).,I
G56.0,CLS-CDHA-SA-THAN-KINH,recommended,2,MAP-NEURO-2026,Mục đích: Siêu âm dây thần kinh giữa tại cổ tay đo diện tích cắt ngang (CSA >10mm² gợi ý chèn ép). Ưu tiên: Đánh giá hình thái mô mềm bổ trợ cho EMG. Lặp lại: 6 tháng.,I
G56.0,TT-CHAM-CUU,suggested,3,MAP-NEURO-2026,Mục đích: Châm cứu giảm đau theo y học cổ truyền kết hợp — có bằng chứng hiệu quả giảm đau đáng kể tránh phẫu thuật (Cochrane Review 2018). Ưu tiên: An toàn và hiệu quả trong giảm đau mức độ nhẹ-vừa. Lặp lại: Liệu trình 10-15 lần × 3 lần/tuần.,IIa
Z32.1,CLS-CDHA-SA-THAI,recommended,1,MOH-OBGYN-2026,Mục đích: Siêu âm xác nhận thai sống trong tử cung/vị trí túi ối/tim thai — quan trọng ở thai kỳ 5-6 tuần (ACOG 2023). Ưu tiên: Đặc biệt ưu tiên xác nhận thai phụ trước tiên. Lặp lại: Theo lịch khám thai.,I
Z32.1,CLS-XN-BETA-HCG,suggested,2,MOH-OBGYN-2026,Mục đích: Định lượng Beta-hCG huyết thanh xác nhận tuổi thai/thai ngoài tử cung khi siêu âm sớm chưa thấy rõ túi ối (ACOG 2023). Ưu tiên: Chỉ dùng khi siêu âm chưa xác nhận. Lặp lại: Theo dõi gấp đôi sau 48 giờ nếu cần.,IIa
Z34.9,CLS-CDHA-SA-THAI,recommended,1,MOH-OBGYN-2026,Mục đích: Siêu âm sinh trắc thai nhi theo lịch sàng lọc: 12 tuần (đo độ mờ da gáy)/22 tuần (hình thái)/32 tuần (phát triển) — theo Hướng dẫn BYT 2020 và ISUOG. Ưu tiên: Chỉ định tiêu chuẩn chăm sóc thai kỳ. Lặp lại: Mỗi 4-8 tuần theo tam cá nguyệt.,I
N76.0,CLS-XN-SOI-TUOI,recommended,1,MOH-OBGYN-2026,Mục đích: Soi tươi dịch âm đạo xác định tác nhân gây viêm (Candida/Trichomonas/vi khuẩn Gardnerella) — tiêu chuẩn chẩn đoán nhanh tại phòng khám. Ưu tiên: Gần như bắt buộc để chọn đúng thuốc kháng sinh/kháng nấm. Lặp lại: Sau đợt điều trị hết triệu chứng nếu tái phát.,I
N83.2,CLS-CDHA-SA-PHU-KHOA,recommended,1,MOH-OBGYN-2026,Mục đích: Siêu âm đầu dò âm đạo đo kích thước/đặc điểm nang buồng trứng (đơn thùy/đa thùy/thành phần bên trong). Ưu tiên: Cần thiết để quyết định theo dõi nội khoa hay phẫu thuật (ACOG 2023). Lặp lại: 3-6 tháng siêu âm đều.,I
