icd_code,drug_code,mapping_type,priority,source_version,note,evidence_level
K08.1,MED-ANES-LIDOCAINE,preferred,1,MAP-RHM-2026,Mục đích: Gây tê tại chỗ trước khi thực hiện nhổ răng hoặc thủ thuật nha khoa. Tác dụng phụ: Nhịp tim nhanh thoáng qua (do Epinephrine); dị ứng (hiếm). Tương tác: Thuốc chẹn beta không chọn lọc và chống trầm cảm ba vòng.,I
K08.1,MED-ABX-AMOXICILLIN,recommended,2,MAP-RHM-2026,Mục đích: Phòng ngừa nhiễm trùng sau nhổ răng (đặc biệt ở bệnh nhân có nguy cơ cao). Tác dụng phụ: Tiêu chảy; phát ban dị ứng. Tương tác: Giảm hiệu lực thuốc tránh thai đường uống.,I
K08.1,MED-NSAID-IBUPROFEN,recommended,3,MAP-RHM-2026,Mục đích: Giảm đau sau nhổ răng và giảm sưng nề vùng phẫu thuật. Tác dụng phụ: Kích ứng dạ dày; loét niêm mạc. Tương tác: Tăng nguy cơ chảy máu khi dùng cùng Aspirin.,I
K12.1,MED-ANTI-CHLORHEXIDINE,recommended,1,MAP-RHM-2026,Mục đích: Sát khuẩn miệng giảm bội nhiễm trên vết loét áp-tơ tái phát. Tác dụng phụ: Rát nhẹ khi súc miệng; ố răng nếu dùng lâu. Tương tác: Không dùng đồng thời với Fluoride (giảm hiệu lực lẫn nhau).,I
K12.1,MED-ANAL-PARACETAMOL,suggested,2,MAP-RHM-2026,Mục đích: Giảm đau rát miệng do loét áp-tơ. Tác dụng phụ: Độc tính gan nếu dùng quá liều hoặc kéo dài. Tương tác: Thuốc chuyển hóa qua gan tăng nguy cơ độc gan.,IIa
M17.9,MED-NSAID-IBUPROFEN,preferred,1,MAP-MSK-2026,Mục đích: Giảm đau kháng viêm trong thoái hóa khớp gối có đợt viêm cấp. Tác dụng phụ: Kích ứng dạ dày; tăng huyết áp; suy thận nếu dùng kéo dài. Tương tác: ACEi/ARB giảm hiệu lực hạ áp và tăng nguy cơ tổn thương thận.,I
M17.9,MED-ANAL-PARACETAMOL,suggested,2,MAP-MSK-2026,Mục đích: Giảm đau thay thế NSAID khi bệnh nhân có tiền sử viêm loét dạ dày hoặc suy thận. Tác dụng phụ: Độc tính gan (đặc biệt quá liều >4g/ngày). Tương tác: Warfarin tăng tác dụng chống đông khi dùng kéo dài.,IIa
M17.9,MED-OA-GLUCOSAMINE,recommended,3,MAP-MSK-2026,Mục đích: Hỗ trợ tái tạo sụn khớp và cải thiện triệu chứng thoái hóa khớp gối mạn tính. Tác dụng phụ: Rối loạn tiêu hóa nhẹ (buồn nôn đầy bụng). Tương tác: Warfarin (có thể kéo dài thời gian đông máu — cần theo dõi INR).,I
M17.9,MED-CORT-METHYLPRED-ACETATE,suggested,4,MAP-MSK-2026,Mục đích: Tiêm nội khớp khi viêm tràn dịch nặng không đáp ứng thuốc uống. Tác dụng phụ: Nhiễm trùng khớp nếu không vô khuẩn; teo cơ tổn thương sụn nếu tiêm lặp gần. Tương tác: Tăng đường huyết thoáng qua ở bệnh nhân đái tháo đường.,IIa
M15.9,MED-NSAID-IBUPROFEN,preferred,1,MAP-MSK-2026,Mục đích: Giảm đau kháng viêm trong thoái hóa đa khớp có đợt viêm cấp. Tác dụng phụ: Loét dạ dày; suy thận; tăng huyết áp. Tương tác: Thuốc chống đông tăng nguy cơ xuất huyết.,I
M15.9,MED-ANAL-PARACETAMOL,suggested,2,MAP-MSK-2026,Mục đích: Thay thế an toàn cho người cao tuổi không dùng được NSAID (suy thận hoặc bệnh dạ dày). Tác dụng phụ: Tổn thương gan nếu quá liều. Tương tác: Ít tương tác thuốc đáng kể.,IIa
M19.9,MED-NSAID-IBUPROFEN,preferred,1,MAP-MSK-2026,Mục đích: Cắt đợt đau cấp do thoái hóa khớp không xác định vị trí. Tác dụng phụ: Loét dạ dày tá tràng; suy thận. Tương tác: ACEi/ARB giảm hiệu lực hạ áp.,I
M19.9,MED-ANAL-PARACETAMOL,suggested,2,MAP-MSK-2026,Mục đích: Giảm đau thay thế khi có chống chỉ định NSAID (xuất huyết tiêu hóa hoặc viêm gan). Tác dụng phụ: Độc tính gan nghiêm trọng hơn ở bệnh nhân có bệnh gan nền. Tương tác: Rượu bia tăng nguy cơ tổn thương gan.,IIa
M05.9,MED-NSAID-IBUPROFEN,preferred,1,MAP-MSK-2026,Mục đích: Giảm đau kháng viêm trong đợt hoạt động của viêm đa khớp dạng thấp. Tác dụng phụ: Suy thận; xuất huyết tiêu hóa. Tương tác: Corticoid toàn thân tăng nguy cơ loét dạ dày.,I
M05.9,MED-CORT-METHYLPRED-ACETATE,suggested,2,MAP-MSK-2026,Mục đích: Tiêm tại chỗ khớp viêm nặng sưng to không đáp ứng điều trị toàn thân. Tác dụng phụ: Teo cơ tại chỗ; tổn thương sụn và gân nếu tiêm lặp lại. Tương tác: Tăng đường huyết thoáng qua.,IIa
M10.9,MED-GOUT-COLCHICINE,preferred,1,MAP-MSK-2026,Mục đích: Cắt cơn gout cấp bằng cách ức chế sự di chuyển bạch cầu vào khớp viêm do tinh thể urat. Tác dụng phụ: Tiêu chảy (rất thường gặp ở liều cao); buồn nôn; đau bụng. Tương tác: Clarithromycin và Erythromycin tăng độc tính nghiêm trọng (có thể gây tử vong).,I
M10.9,MED-GOUT-ALLOPURINOL,recommended,2,MAP-MSK-2026,Mục đích: Giảm sản xuất acid uric phòng ngừa tái phát cơn gout dài hạn. Tác dụng phụ: Hội chứng quá mẫn nặng (SJS/TEN); phát ban; rối loạn tiêu hóa. Tương tác: Azathioprine và Mercaptopurine tăng độc tính rất mạnh.,I
M10.9,MED-NSAID-IBUPROFEN,preferred,3,MAP-MSK-2026,Mục đích: Phối hợp Colchicine kháng viêm mạnh hơn khi cơn gout đau dữ dội. Tác dụng phụ: Loét dạ dày; suy thận; xuất huyết tiêu hóa. Tương tác: Thuốc chống đông tăng nguy cơ chảy máu.,I
I50.9,MED-DIU-FUROSEMIDE,preferred,1,MAP-CARDIO-2026,Mục đích: Lợi tiểu quai giảm ứ dịch phổi và phù ngoại biên trong suy tim sung huyết. Tác dụng phụ: Hạ kali máu; mất nước; suy thận cấp nếu dùng quá liều. Tương tác: Aminoglycoside tăng độc tính thính giác; NSAID giảm tác dụng lợi tiểu.,I
I50.9,MED-BETA-BISOPROLOL,preferred,2,MAP-CARDIO-2026,Mục đích: Giảm nhịp tim và cải thiện tử vong trong suy tim mạn (trụ cột điều trị). Tác dụng phụ: Nhịp tim chậm; mệt mỏi; tay chân lạnh. Tương tác: Verapamil/Diltiazem gây nhịp tim chậm quá mức.,I
I50.9,MED-DM-DAPAGLIFLOZIN,preferred,3,MAP-CARDIO-2026,Mục đích: Giảm nhập viện do suy tim và bảo vệ thận (tứ trụ điều trị suy tim). Tác dụng phụ: Nhiễm nấm đường sinh dục; tiểu nhiều; nguy cơ nhiễm toan ceton. Tương tác: Thuốc lợi tiểu tăng nguy cơ mất nước; Insulin/SU tăng nguy cơ hạ đường huyết.,I
I50.9,MED-ACEI-PERINDOPRIL,recommended,4,MAP-CARDIO-2026,Mục đích: Giảm hậu tải cải thiện chức năng bơm của thất trái trong suy tim. Tác dụng phụ: Ho khan; tăng kali máu; phù mạch (hiếm). Tương tác: Thuốc lợi tiểu giữ kali tăng nguy cơ tăng kali máu.,I
I48.9,MED-ANTICOA-RIVAROXABAN,preferred,1,MAP-CARDIO-2026,Mục đích: điều trị nguyên nhân/triệu chứng theo phác đồ ngoại trú. Tác dụng phụ: theo dõi ADR thường gặp và cảnh báo nguy cơ. Tương tác: rà soát tương tác thuốc và bệnh đồng mắc trước kê đơn.,I
I48.9,MED-BETA-BISOPROLOL,recommended,2,MAP-CARDIO-2026,Mục đích: Kiểm soát nhịp thất trong rung nhĩ giữ tần số dưới 110 lần/phút khi nghỉ. Tác dụng phụ: Mệt mỏi; nhịp chậm; co thắt phế quản ở bệnh nhân hen. Tương tác: NSAID giảm tác dụng hạ áp; Digoxin tăng độc tính.,I
I20.9,MED-ANTIPLAT-ASPIRIN,preferred,1,MAP-CARDIO-2026,Mục đích: Ức chế kết tập tiểu cầu phòng ngừa nhồi máu cơ tim ở bệnh nhân cơn đau thắt ngực. Tác dụng phụ: Loét dạ dày tá tràng; tăng nguy cơ xuất huyết. Tương tác: Ibuprofen đối kháng tác dụng bảo vệ tim; Corticoid tăng nguy cơ chảy máu.,I
I20.9,MED-BETA-BISOPROLOL,preferred,2,MAP-CARDIO-2026,Mục đích: Giảm nhịp tim giảm nhu cầu oxy cơ tim giúp giảm cơn đau thắt ngực. Tác dụng phụ: Ác mộng; mệt mỏi; nhịp tim chậm; tay chân lạnh tím. Tương tác: Thuốc chẹn kênh calci phi DHP (Nifedipin giãn mạch) cần thận trọng.,I
I20.9,MED-STATIN-ATORVASTATIN,recommended,3,MAP-CARDIO-2026,Mục đích: Ổn định mảng xơ vữa và giảm LDL-C dự phòng biến cố vành cấp. Tác dụng phụ: Đau cơ; tăng men gan; mệt mỏi. Tương tác: Nước bưởi chùm ức chế CYP3A4 tăng nồng độ thuốc.,I
I10,MED-ACEI-PERINDOPRIL,preferred,1,MAP-CARDIO-2026,Mục đích: Hạ huyết áp và bảo vệ chức năng thận (đặc biệt ở bệnh nhân đái tháo đường hoặc THA lâu năm). Tác dụng phụ: Ho khan kéo dài; tăng kali máu; phù mạch. Tương tác: NSAID giảm hiệu lực hạ áp và tăng nguy cơ suy thận.,I
I10,MED-ARB-LOSARTAN,preferred,2,MAP-CARDIO-2026,Mục đích: Thay thế ACEi khi bệnh nhân ho khan không dung nạp Perindopril. Tác dụng phụ: Tăng kali máu; nhức đầu; chóng mặt hạ huyết áp. Tương tác: Thuốc lợi tiểu giữ kali tăng nguy cơ tăng kali máu.,I
I10,MED-CCB-AMLODIPINE,suggested,3,MAP-CARDIO-2026,Mục đích: Phối hợp ACEi/ARB khi đơn trị liệu chưa đạt huyết áp mục tiêu (<140/90mmHg). Tác dụng phụ: Phù cổ chân; đỏ bừng mặt; nhức đầu. Tương tác: Simvastatin tăng nồng độ (cần hạn chế liều Simvastatin ≤20mg).,IIa
I10,MED-BETA-BISOPROLOL,suggested,4,MAP-CARDIO-2026,Mục đích: Phối hợp khi THA kèm nhịp tim nhanh (>90 lần/phút) hoặc hồi hộp đánh trống ngực. Tác dụng phụ: Mệt mỏi; giảm ham muốn; che lấp triệu chứng hạ đường huyết. Tương tác: Ít tương tác đáng kể với Clopidogrel.,IIa
R07.4,MED-ANTIPLAT-ASPIRIN,suggested,1,MAP-CARDIO-2026,Mục đích: Cân nhắc cho bệnh nhân đau ngực nghi do tim (nhai ngay 1 viên khi có nguy cơ hội chứng vành cấp). Tác dụng phụ: Kích ứng dạ dày; xuất huyết tiêu hóa ở bệnh nhân đang có loét. Tương tác: Allopurinol giảm thải acid uric khi dùng chung.,IIa
R07.4,MED-STATIN-ATORVASTATIN,suggested,2,MAP-CARDIO-2026,Mục đích: Dự phòng xơ vữa nếu đau ngực nghi do bệnh mạch vành. Tác dụng phụ: Đau cơ; tăng men gan. Tương tác: Gemfibrozil tăng nguy cơ tiêu cơ vân nghiêm trọng.,IIa
K21.9,MED-PPI-ESOMEPRAZOLE,preferred,1,MAP-GAS-2026,Mục đích: Ức chế bơm proton giảm tiết acid dạ dày điều trị trào ngược dạ dày thực quản. Tác dụng phụ: Nhức đầu; tiêu chảy; dùng kéo dài nguy cơ loãng xương và thiếu B12. Tương tác: Giảm tác dụng Clopidogrel (chọn Pantoprazole thay thế nếu dùng chung).,I
K21.9,MED-PROKI-ITOPRIDE,suggested,2,MAP-GAS-2026,Mục đích: Tăng cường vận động dạ dày giảm triệu chứng đầy hơi chướng bụng do chậm tiêu. Tác dụng phụ: Tiêu chảy nhẹ; đau đầu; tăng prolactin (hiếm). Tương tác: Thuốc kháng cholinergic (Atropine) làm giảm tác dụng thuốc.,IIa
K52.9,MED-ANTISPAS-MEBEVERINE,preferred,1,MAP-GAS-2026,Mục đích: Chống co thắt cơ trơn ruột giảm đau bụng trong viêm đại tràng và hội chứng ruột kích thích. Tác dụng phụ: Hiếm gặp — có thể phát ban nhẹ. Tương tác: An toàn với phần lớn nhóm thuốc khác.,I
K52.9,MED-ABX-METRONIDAZOLE,suggested,2,MAP-GAS-2026,Mục đích: Điều trị khi nghi ngờ nhiễm trùng đường ruột do vi khuẩn kỵ khí hoặc ký sinh trùng. Tác dụng phụ: Vị kim loại trong miệng; buồn nôn; nước tiểu sẫm màu. Tương tác: Tuyệt đối kiêng rượu bia (hiệu ứng Disulfiram gây nôn dữ dội).,IIa
K64.9,MED-HEMORR-DIOSMIN,preferred,1,MAP-GAS-2026,Mục đích: Tăng trương lực tĩnh mạch và giảm triệu chứng trĩ (chảy máu phù nề đau rát). Tác dụng phụ: Rối loạn tiêu hóa nhẹ (buồn nôn đầy bụng). Tương tác: Không có tương tác thuốc đáng kể.,I
K64.9,MED-HEMORR-PROCTOLOG,preferred,2,MAP-GAS-2026,Mục đích: Điều trị tại chỗ giảm đau ngứa và bảo vệ niêm mạc hậu môn bị trĩ. Tác dụng phụ: Kích ứng nhẹ tại chỗ; nóng rát thoáng qua khi bôi. Tương tác: Không nên dùng đồng thời với thuốc bôi hậu môn khác.,I
K64.9,MED-ANAL-PARACETAMOL,suggested,3,MAP-GAS-2026,Mục đích: Giảm đau khi trĩ nội sa nghẹt gây sưng đau nhiều. Tác dụng phụ: Độc tính gan nếu dùng quá liều kéo dài. Tương tác: Ibuprofen không nên phối hợp ở bệnh nhân trĩ đang chảy máu.,IIa
K80.2,MED-BILI-UDCA,recommended,1,MAP-GAS-2026,Mục đích: Hỗ trợ tan sỏi mật cholesterol nhỏ và cải thiện lưu thông mật. Tác dụng phụ: Tiêu chảy; phân nhão; nổi mề đay (hiếm). Tương tác: Thuốc kháng acid (Antacid Cholestyramine) giảm hấp thu UDCA.,I
K80.2,MED-ANTISPAS-MEBEVERINE,suggested,2,MAP-GAS-2026,Mục đích: Giảm co thắt đường mật do sỏi gây đau quặn. Tác dụng phụ: Dị ứng da nhẹ (hiếm). Tương tác: Không có tương tác đáng kể.,IIa
K62.8,MED-ANTISPAS-MEBEVERINE,suggested,1,MAP-GAS-2026,Mục đích: Giảm co thắt trực tràng giảm triệu chứng đau mót rặn sau đại tiện. Tác dụng phụ: Kích ứng da nhẹ. Tương tác: Có thể giảm nhẹ hấp thu thuốc khác.,IIa
K62.8,MED-HEMORR-PROCTOLOG,suggested,2,MAP-GAS-2026,Mục đích: Bảo vệ niêm mạc hậu môn trực tràng và giảm nứt rách chảy máu. Tác dụng phụ: Nóng rát nhẹ thoáng qua khi bôi. Tương tác: Không dùng chung với thuốc mỡ bôi hậu môn khác.,IIa
G62.9,MED-NEURO-GABAPENTIN,preferred,1,MAP-NEURO-2026,Mục đích: Giảm đau thần kinh (kiểu rát bỏng tê buốt kim châm) qua ức chế kênh calci tiền synapse. Tác dụng phụ: Chóng mặt; buồn ngủ; thất điều; tăng cân. Tương tác: Antacid giảm hấp thu; rượu bia và Benzodiazepin tăng an thần.,I
G62.9,MED-NEURO-PREGABALIN,preferred,2,MAP-NEURO-2026,Mục đích: Thay thế Gabapentin khi cần hấp thu ổn định hơn hoặc bệnh nhân không đáp ứng. Tác dụng phụ: Chóng mặt; buồn ngủ; nhìn mờ; phù ngoại biên; tăng cân. Tương tác: Opioid và Benzodiazepin tăng nguy cơ ức chế hô hấp.,I
G62.9,MED-NEURO-AMITRIPTYLINE,suggested,3,MAP-NEURO-2026,Mục đích: Điều trị đau thần kinh kèm mất ngủ do đau kéo dài (tác dụng kép). Tác dụng phụ: Khô miệng; táo bón; buồn ngủ; bí tiểu; nhịp tim nhanh. Tương tác: Chống chỉ định với thuốc ức chế MAO; kháng cholinergic tăng tác dụng phụ.,IIa
G62.9,MED-NEURO-VITAMIN-B,recommended,4,MAP-NEURO-2026,Mục đích: Bổ sung vitamin B1/B6/B12 hỗ trợ phục hồi bao myelin dây thần kinh tổn thương. Tác dụng phụ: Nước tiểu vàng sẫm (do B2); dung nạp tốt. Tương tác: Levodopa (trị Parkinson) bị giảm tác dụng bởi B6 liều cao.,I
G63.2,MED-NEURO-PREGABALIN,preferred,1,MAP-NEURO-2026,Mục đích: Điều trị đau thần kinh ngoại biên do biến chứng đái tháo đường (first-line). Tác dụng phụ: Chóng mặt; buồn ngủ; nhìn mờ; phù cổ chân. Tương tác: Thuốc an thần và Opioid tăng ức chế thần kinh trung ương.,I
G63.2,MED-NEURO-GABAPENTIN,preferred,2,MAP-NEURO-2026,Mục đích: Thay thế Pregabalin khi có tác dụng phụ không dung nạp (phù hoặc tăng cân nhiều). Tác dụng phụ: Buồn ngủ; chóng mặt ban ngày. Tương tác: Antacid giảm hấp thu (uống cách ít nhất 2 giờ).,I
G63.2,MED-NEURO-VITAMIN-B,recommended,3,MAP-NEURO-2026,Mục đích: Bổ sung B12 thiếu hụt do Metformin dùng lâu dài gây tổn thương thần kinh. Tác dụng phụ: An toàn; hiếm gặp phản ứng phụ. Tương tác: Levodopa (thuốc Parkinson) bị giảm tác dụng bởi B6.,I
G56.0,MED-NEURO-GABAPENTIN,suggested,1,MAP-NEURO-2026,Mục đích: Giảm đau tê bì do chèn ép thần kinh giữa tại ống cổ tay. Tác dụng phụ: Chóng mặt; buồn ngủ; mệt mỏi. Tương tác: Rượu bia tăng tác dụng an thần.,IIa
G56.0,MED-NEURO-VITAMIN-B,recommended,2,MAP-NEURO-2026,Mục đích: Hỗ trợ phục hồi dây thần kinh giữa bị chèn ép trong hội chứng ống cổ tay. Tác dụng phụ: An toàn; nước tiểu vàng. Tương tác: Levodopa bị giảm hiệu lực bởi B6 liều cao.,I
Z32.1,MED-OBGYN-VITAMIN,recommended,1,MAP-OBGYN-2026,Mục đích: Bổ sung acid folic/sắt/canxi phòng ngừa dị tật ống thần kinh và thiếu máu thiếu sắt ở mẹ. Tác dụng phụ: Buồn nôn; táo bón; phân đen (do sắt). Tương tác: Sữa/trà/cà phê giảm hấp thu sắt và canxi (uống cách xa bữa ăn).,I
